region,sector,price_type,year,value_million_thb
Northeastern,Agriculture,current_market_prices,2023,378954.605
Northern,Agriculture,current_market_prices,2023,345979.43
Southern,Agriculture,current_market_prices,2023,349977.183
Eastern,Agriculture,current_market_prices,2023,197368.551
Western,Agriculture,current_market_prices,2023,148033.427
Central,Agriculture,current_market_prices,2023,69129.886
Bangkok & Vicinities,Agriculture,current_market_prices,2023,47974.919
Whole Kingdom,Agriculture,current_market_prices,2023,1537418.0
Northeastern,"Agriculture, forestry and fishing",current_market_prices,2023,378954.605
Northern,"Agriculture, forestry and fishing",current_market_prices,2023,345979.43
Southern,"Agriculture, forestry and fishing",current_market_prices,2023,349977.183
Eastern,"Agriculture, forestry and fishing",current_market_prices,2023,197368.551
Western,"Agriculture, forestry and fishing",current_market_prices,2023,148033.427
Central,"Agriculture, forestry and fishing",current_market_prices,2023,69129.886
Bangkok & Vicinities,"Agriculture, forestry and fishing",current_market_prices,2023,47974.919
Whole Kingdom,"Agriculture, forestry and fishing",current_market_prices,2023,1537418.0
Northeastern,Non-Agriculture,current_market_prices,2023,1429458.631
Northern,Non-Agriculture,current_market_prices,2023,1044883.815
Southern,Non-Agriculture,current_market_prices,2023,1087613.862
Eastern,Non-Agriculture,current_market_prices,2023,3031693.324
Western,Non-Agriculture,current_market_prices,2023,488835.767
Central,Non-Agriculture,current_market_prices,2023,812559.404
Bangkok & Vicinities,Non-Agriculture,current_market_prices,2023,8522204.196
Whole Kingdom,Non-Agriculture,current_market_prices,2023,16417248.999
Northeastern,Industrial,current_market_prices,2023,386347.081
Northern,Industrial,current_market_prices,2023,285065.677
Southern,Industrial,current_market_prices,2023,238876.918
Eastern,Industrial,current_market_prices,2023,2035527.187
Western,Industrial,current_market_prices,2023,181814.516
Central,Industrial,current_market_prices,2023,499404.429
Bangkok & Vicinities,Industrial,current_market_prices,2023,1854802.192
Whole Kingdom,Industrial,current_market_prices,2023,5481837.999
Northeastern,Mining and quarrying,current_market_prices,2023,17478.996
Northern,Mining and quarrying,current_market_prices,2023,44595.837
Southern,Mining and quarrying,current_market_prices,2023,43095.838
Eastern,Mining and quarrying,current_market_prices,2023,211253.559
Western,Mining and quarrying,current_market_prices,2023,12079.792
Central,Mining and quarrying,current_market_prices,2023,19368.311
Bangkok & Vicinities,Mining and quarrying,current_market_prices,2023,4046.667
Whole Kingdom,Mining and quarrying,current_market_prices,2023,351919.0
Northeastern,Manufacturing,current_market_prices,2023,308847.112
Northern,Manufacturing,current_market_prices,2023,201140.924
Southern,Manufacturing,current_market_prices,2023,149195.419
Eastern,Manufacturing,current_market_prices,2023,1595933.5
Western,Manufacturing,current_market_prices,2023,122904.62
Central,Manufacturing,current_market_prices,2023,404394.447
Bangkok & Vicinities,Manufacturing,current_market_prices,2023,1702530.977
Whole Kingdom,Manufacturing,current_market_prices,2023,4484946.999
Northeastern,"Electricity, gas, steam and air conditioning supply",current_market_prices,2023,52449.787
